GUID cddae48d239c4e3eab065cb7940feb2b
Type Backpack
Rarity Legendary
Useable Clothing
ID 47064

Size_X 2
Size_Y 2
Size_Z 0.6

Width 9
Height 6

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 4064
Blueprint_0_Product 66
Blueprint_0_Products 6
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32

Master_Bundle_Override california.masterbundle
Bundle_Override_Path /CaliforniaMasterBundle/Items/Backpacks/CA_Rucksack_0
