GUID 8bc7287ca8d442d0a27b999318ab4003
Type Mask
Rarity Rare
Useable Clothing
ID 15801

Size_X 2
Size_Y 1
Size_Z 0.25

Beard
Hair

Earpiece

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15801
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Headphones
