GUID 65aa403a3f554869b59bf48cb4f26abe
Type Hat
Rarity Rare
Useable Clothing
ID 15822

Size_X 2
Size_Y 2
Size_Z 0.45

Beard

Armor 0.05

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15822
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Jester_Cap
