GUID 8371abf1e61a4081bfbebf8c9e6bda19
Type Hat
Rarity Rare
Useable Clothing
ID 15818

Size_X 2
Size_Y 2
Size_Z 0.375

Beard

Armor 0.05

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15818
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32
Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 66
Blueprint_2_Supply_0_Amount 5
Blueprint_2_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Accessories/Paper_Hat
