GUID 79b645a7eb87403abdade06ec2f40544
Type Mask
Rarity Legendary
Useable Clothing
ID 15955

Size_X 2
Size_Y 2
Size_Z 0.325

Beard
Hair

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15955
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 3
Blueprint_2_Build 27
Blueprint_2_Conditions 1
Blueprint_2_Condition_0_Type Holiday
Blueprint_2_Condition_0_Value Halloween

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Halloween/Bolt
