GUID 4c12455946234affbba866472ad923e2
Type Vest
Rarity Rare
Useable Clothing
ID 15920

Size_X 2
Size_Y 2
Size_Z 0.7

Width 2
Height 1

Armor 0.95

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15920
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Hawaii/Ducky_Life_Preserver
