GUID ec20bf28924f447892970d2f745dbc51
Type Pants
Rarity Rare
Useable Clothing
ID 15916

Size_X 2
Size_Y 2
Size_Z 0.65

Width 5
Height 2

Armor 0.95

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15916
Blueprint_0_Product 66
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Hawaii/Grass_Skirt
