GUID c78016b4454f4cd394fda4512b87f13e
Type Mask
Rarity Epic
Useable Clothing
ID 15924

Size_X 1
Size_Y 1
Size_Z 0.2

Hair
Beard

Armor 0.95

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15925
Blueprint_0_Product 66
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Hawaii/Pulmeria
