GUID cf1c48c080d645d5ac2c9c3d07d9d033
Type Hat
Rarity Rare
Useable Clothing
ID 15843

Size_X 3
Size_Y 2
Size_Z 0.4

Beard

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 15843
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Outfits/Navy_Hat
