GUID 69e0403c658f43c8b60a6284bd768489
Type Vest
Rarity Rare
Useable Clothing
ID 15838

Size_X 1
Size_Y 1
Size_Z 0.25

Armor 0.1

Width 1
Height 1

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 15838
Blueprint_0_Product 516
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 516
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override cosmeticclothes.masterbundle
Bundle_Override_Path /Models/CosmeticMasterBundle/Cosmetic/Outfits/Parrot
