GUID f01a9cbd793a48578d6cf705a1b6095e
Type Magazine
Rarity Uncommon
ID 13006

Size_X 1
Size_Y 1
Size_Z 0.12

Amount 1

Calibers 1
Caliber_0 61

Tracer 48

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 3119
Blueprint_0_Tool_Critical
Blueprint_0_Level 1
Blueprint_0_Skill Cook
Blueprint_0_Build 27

Master_Bundle_Override france.masterbundle
Bundle_Override_Path /Items/France/Hats/Magazines/Musket_1
