GUID 90cf9fe210b94aa190f562bd188f887f
Type Arrest_Start
Useable Arrest_Start
ID 2197

Size_X 1
Size_Y 1
Size_Z 0.25

Strength 64

Blueprints 2
Blueprint_0_Type Barricade
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 69
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supply_0_ID 1197
Blueprint_1_Product 65
Blueprint_1_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Arrest_Starts/Cable_Tie
