GUID 5ff41b5475b44bd88aa0ec1457972a1d
Type Backpack
Rarity Epic
Useable Clothing
ID 8943

Size_X 2
Size_Y 2
Size_Z 0.6

Width 1
Height 2

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 8943
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32

Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 66
Blueprint_2_Supply_0_Amount 8
Blueprint_2_Build 32
Blueprint_2_Conditions 1
Blueprint_2_Condition_0_Type Holiday
Blueprint_2_Condition_0_Value Halloween
