GUID d8a02aca1c494584abd6d91f341932be
Type Storage
Rarity Uncommon
Useable Barricade
Build Storage
ID 27650

Size_X 3
Size_Y 3
Size_Z 0.5

Health 200
Range 4
Radius 0.5
Offset 0.75

Storage_X 7
Storage_Y 5

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Crate_Large_Maple
