GUID 9d1067d958984cb79d72f0fe32d2f6e3
Type Storage
Rarity Uncommon
Useable Barricade
Build Storage
ID 27653

Size_X 2
Size_Y 2
Size_Z 0.4

Health 200
Range 4
Radius 0.5
Offset 0.75

Storage_X 6
Storage_Y 4

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Crate_Small_Maple
