GUID ff1a204dac2249a1bf6720d9330d5802
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 27654

Size_X 2
Size_Y 2
Size_Z 0.4

Health 250
Range 4
Radius 0.5
Offset 0.75

Storage_X 7
Storage_Y 4

Explosion 29

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 63
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 42
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Crate_Small_Pine
