GUID 9c49e61ed0bc4f24ad6c4611da29ae73
Type Barricade
Rarity Epic
Useable Barricade
Build Barricade
ID 27620

Size_X 2
Size_Y 2
Size_Z 0.4

Health 600
Range 4
Radius 0.5
Offset 1.3

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Shelf_Dis_Metal
