GUID 1889c3507bb040848d5f25ecceb51204
Type Barricade
Rarity Uncommon
Useable Barricade
Build Note
ID 27658

Size_X 3
Size_Y 2
Size_Z 0.5

Health 300
Range 4
Offset 0.15

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override letgalianf.masterbundle
Bundle_Override_Path Items/Letgalian/Barricades/Sign_Board
