GUID cc6c2597551e4df59069410b1f3de6a4

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 57133

Quality_Min 85
Quality_Max 100

Size_X 4
Size_Y 2
Size_Z 0.35

Magazine 57134

Hook_Sight
Hook_Grip

Ammo_Min 4
Ammo_Max 8

Safety
Semi
Bursts 2

Caliber 57004

Range 50
Firerate 0
Action Break

Player_Damage 11
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 28
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 20
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 12
Resource_Damage 2
Object_Damage 2

Durability 0.1

Spread_Aim 0.7
Spread_Hip 0.225

Ballistic_Steps 1

Recoil_Min_X -3
Recoil_Min_Y -13
Recoil_Max_X 3
Recoil_Max_Y -13

Recover_X 9
Recover_Y 6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 57133
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 3
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 57488
Blueprint_2_Supply_0_Critical
Blueprint_2_Supply_1_ID 67
Blueprint_2_Tool 76
Blueprint_2_State_Transfer
Blueprint_2_Build 27
