GUID 112db629465c446a9ae035d7fec7e67a
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 37201

Size_X 2
Size_Y 2
Size_Z 0.35

Health 200
Range 4
Radius 0.05
Offset 0.416

Storage_X 3
Storage_Y 3

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 32228
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 37112
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_BowlMarshmallow
