GUID 77b1a4343edc46f0b0c191da0581d320
Type Barricade
Useable Barricade
Build Barricade
ID 37267

Size_X 2
Size_Y 2
Size_Z 0.35

Health 200
Range 4
Radius 0.3
Offset 0.75

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 516
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 6
Blueprint_0_Tool 138
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 37101

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_CouchLeatherS
