GUID e8ab54a7ed534632afad60ce201efb2e
Type Storage
Rarity Rare
Useable Barricade
Build Storage_Wall
ID 37173

Size_X 1
Size_Y 1
Size_Z 0.18

Health 200
Range 4
Offset 0.34

Storage_X 2
Storage_Y 3
Display
Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 71
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Furniture_WallHook
