GUID fa797f0ac06147639df82e157bdf4c16
Type Supply
ID 32111

Size_X 1
Size_Y 1
Size_Z 0.31

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 32111
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 66
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 32110
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Key Craft_Seed

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Plant_Cotton
