GUID a7ef09aa19d14e7f98310f98f0cef3ac
Type Farm
Useable Barricade
Build Farm
ID 32184

Size_X 1
Size_Y 1
Size_Z 0.26

Health 1
Range 4
Radius 0.05
Offset 0.47

Growth 12000
Grow 32185

Explosion 43
Vulnerable

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 32124
Blueprint_0_Supply_1_ID 32122
Blueprint_0_Supply_2_ID 332
Blueprint_0_Build 27

Asset_Bundle_Version 2

Master_Bundle_Override morefarming.masterbundle
Bundle_Override_Path /More_Farming/Plant_FlowerPalmSeed
