GUID b949669601b84e338ada4589efd6f573
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 62078

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 58080
Magazine 58079

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 4
Ammo_Max 5

Safety
Semi

Attachment_Calibers 3
Attachment_Caliber_0 56100
Attachment_Caliber_1 56101
Attachment_Caliber_2 56706

Magazine_Calibers 1
Magazine_Caliber_0 56015

Range 500

Ballistic_Drop 0.0016
Ballistic_Steps 200
Ballistic_Travel 16

Firerate 6
Action Bolt

Gunshot_Rolloff_Distance 1000

Player_Damage 70
Player_Leg_Multiplier 0.95
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.6

Zombie_Damage 70
Zombie_Leg_Multiplier 0.95
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.6

Animal_Damage 70
Animal_Leg_Multiplier 0.95
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.6

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.001
Spread_Hip 0.12

Recoil_Min_X -3
Recoil_Min_Y 5
Recoil_Max_X 3
Recoil_Max_Y 7

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55103

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58078
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
