GUID dc0c567aa83043648f033b216867e73a
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 67105

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Hook_Sight
Hook_Barrel
Hook_Grip

Safety
Semi
Auto

Attachment_Calibers 4
Attachment_Caliber_0 56100
Attachment_Caliber_1 56101
Attachment_Caliber_2 56200
Attachment_Caliber_3 56706

Magazine_Calibers 1
Magazine_Caliber_0 56021

Unplace 0.125
Replace 0.75

Range 390
Firerate 5
Action Trigger

Player_Damage 68
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 68
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 68
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.1
Spread_Hip 0.12

Recoil_Min_X -1
Recoil_Min_Y 5
Recoil_Max_X 1.5
Recoil_Max_Y 6

Recover_X 0.65
Recover_Y 0.65

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55102

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67105
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Guns/AK Platform/Kalashnikov AK-308 Rifle
