GUID fa9ee6c006fd47c58df66894ecd38887
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 67146

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Backward

Hook_Sight
Hook_Tactical

Safety
Semi

Attachment_Calibers 3
Attachment_Caliber_0 56100
Attachment_Caliber_1 56706
Attachment_Caliber_2 56027

Magazine_Calibers 1
Magazine_Caliber_0 56026

Range 500

Ballistic_Drop 0.00175
Ballistic_Steps 200
Ballistic_Travel 12.5

Firerate 6
Action Bolt

Player_Damage 90
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.3

Zombie_Damage 90
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.7
Zombie_Skull_Multiplier 1.1

Animal_Damage 90
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.001
Spread_Hip 0.12

Recoil_Min_X -2.75
Recoil_Min_Y 6
Recoil_Max_X 2.75
Recoil_Max_Y 6

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55103

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67146
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Guns/Mosin Platform/Mosin Nagant Bolt-Action Rifle
