GUID 0aafa3b2d9e9486e9f53e9e5026782ad
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 67067

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Hook_Sight
Hook_Barrel

Safety
Auto

Attachment_Calibers 1
Attachment_Caliber_0 56200

Magazine_Calibers 1
Magazine_Caliber_0 56011

Unplace 0.21
Replace 0.55

Range 300
Firerate 5
Action Trigger

Fire_Delay_Seconds 0.075

Player_Damage 71
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.3

Zombie_Damage 71
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.7
Zombie_Skull_Multiplier 1.1

Animal_Damage 71
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.15
Spread_Hip 0.25

Recoil_Min_X -1
Recoil_Min_Y 3.5
Recoil_Max_X 1
Recoil_Max_Y 4

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55104

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67067
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Guns/PKM Platform/Kalashnikov PKM Medium Machine Gun
