GUID 9bef73794c4e43d6be1059abf434abc9
Type Magazine
Rarity Rare
ID 67101

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 20
Count_Min 0
Count_Max 0

Calibers 1
Caliber_0 56020

Tracer 48

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67101
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67035
Blueprint_1_Build 30

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Magazines/STANAG Magazines/M80A1 Ball 20rnd SR-25 Magazine
