GUID dcd99b20032740598a4bbb1d15cbe9f5
Type Magazine
Rarity Rare
ID 67028

Size_X 1
Size_Y 1
Size_Z 0.3

Amount 10
Count_Min 0
Count_Max 0

Calibers 1
Caliber_0 56005

Tracer 48

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67028
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67030
Blueprint_1_Build 30

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Bundles/Items/Magazines/SVD Magazines/7N1 Ball 10rnd SVD Magazine
