GUID 0eada2970ba04a7b9d79b42f50c96373
Type Charge
Rarity Epic
Useable Barricade
Build Charge
ID 66008

Size_X 2
Size_Y 1
Size_Z 0.325

Health 1
Range 4
Offset 0.05

Player_Damage 200
Zombie_Damage 200
Animal_Damage 200
Barricade_Damage 1000
Structure_Damage 1000
Vehicle_Damage 1000
Resource_Damage 2000
Object_Damage 1000

Range2 8
Explosion2 45

Explosion 36
Vulnerable
Unrepairable
Proof_Explosion

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 73
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 1100
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 32

Master_Bundle_Override nep.masterbundle
Bundle_Override_Path /Bundles/Items/Barricades/C4 Charge
