GUID 77fc029df67249eda57f1facf65e6ede
Type Glasses
Rarity Rare
Useable Clothing
ID 36259

Size_X 2
Size_Y 1
Size_Z 0.2

Hair
Beard

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34259
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Glasses/EP-BK
