GUID 47418374ba7b4d3fa5e875d27cda90ab
Type Hat
Rarity Uncommon
Useable Clothing
ID 37067

Size_X 2
Size_Y 2
Size_Z 0.42

Beard

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34067
Blueprint_0_Product 66
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Hats/
