GUID 6db13e7ee92b4c388f7a8b50f37a9abf
Type Mask
Rarity Epic
Useable Clothing
ID 37246

Size_X 2
Size_Y 2
Size_Z 0.3

Quality_Min 75
Quality_Max 100

Proof_Radiation

Hair
Beard

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34246
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 5
Blueprint_1_Build 32


Master_Bundle_Override pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Masks/3M-PRO
