GUID bb2dde9c5b0a42a3b0cced4545361664
Type Vest
Rarity Mythical
Useable Clothing
ID 37125

Size_X 2
Size_Y 2
Size_Z 0.5

Width 6
Height 5

Armor 0.60

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 34125
Blueprint_0_Product 67
Blueprint_0_Products 7
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 7
Blueprint_1_Tool 34108
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 32

pto_tacticalapparel.masterbundle
Bundle_Override_Path /PTO_TacticalApparelMasterBundle/Items/Vests/TP-AV-RG-4
