GUID 269ad47802234d6aabd95d5ae3251c2e
Type Vehicle
Rarity Rare
ID 26184

Physics_Profile 9bf542e2e34a4de3b3c7bb5441faeeca
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 16

Steer_Min 18
Steer_Max 30

Brake 26

Fuel_Min 200
Fuel_Max 400
Fuel 1500

Health_Min 350
Health_Max 450
Health 400

Cam_Passenger_Offset -0.05

Trunk_Storage_X 6
Trunk_Storage_Y 7

Explosion 20

Bumper_Invulnerable
Traction

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/1.0/brat/brat_purple
