GUID fa1c2427521d41fea1f8ac46330f441e
Type Vehicle
Rarity Uncommon
ID 26108

Speed_Min -8
Speed_Max 30

Steer_Min 30
Steer_Max 20

Fuel 1000

Health_Min 800
Health_Max 900
Health 500

Exit 2

Cam_Follow_Distance 7

LockMouse
Engine Helicopter

Trunk_Storage_X 2
Trunk_Storage_Y 3

Explosion 20
Invulnerable
Tires_Invulnerable

Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/1.0/light/light_police
