GUID e78c2822085a442b9b19d57d011298ce
Type Vehicle
Rarity Rare
ID 26617

Physics_Profile dd5b9ad652da4e61b76a946d6365878a
Fuel_Burn_Rate 1.4

Speed_Min -6
Speed_Max 27

Steer_Min 18
Steer_Max 26

Brake 30

Fuel_Min 200
Fuel_Max 400
Fuel 900

Health_Min 350
Health_Max 450
Health 700

Cam_Passenger_Offset -0.10

Trunk_Storage_X 3
Trunk_Storage_Y 2

Explosion 20
Reclined
BatteryMode_Sirens Charge

Bumper_Invulnerable

Master_Bundle_Override vanillavehicles.masterbundle
Bundle_Override_Path /Assets/Vanilla Vehicles 2/Vehicles/VVR/2.0/Pioneer/Pioneer_yellow
