GUID 68baeb183f4c42c2abf12bd93a9f0a41
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 58179

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Magazine 58180

Hook_Sight
Hook_Barrel

Ammo_Min 3
Ammo_Max 5

Safety
Semi

Attachment_Calibers 5
Attachment_Caliber_0 56200
Attachment_Caliber_1 56201
Attachment_Caliber_2 56702
Attachment_Caliber_3 56051
Attachment_Caliber_4 56078

Magazine_Calibers 1
Magazine_Caliber_0 56029

Unplace 0.125
Replace 0.75

Range 105
Firerate 4
Action Trigger

Gunshot_Rolloff_Distance 800

Player_Damage 20
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.28

Zombie_Damage 20
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.28

Animal_Damage 20
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.28

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 12

Durability 0.2

Spread_Aim 0.295
Spread_Hip 0.195
Spread_Prone 1
Spread_Crouch 1

Recoil_Min_X -1
Recoil_Min_Y 20
Recoil_Max_X 1
Recoil_Max_Y 30

Recover_X 0.65
Recover_Y 0.65

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55110

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58179
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
