GUID af189a3295b54c46b9e2b91423df212f
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 58173

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 58099
Magazine 58174

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 3
Ammo_Max 5

Safety
Semi

Attachment_Calibers 4
Attachment_Caliber_0 56100
Attachment_Caliber_1 56101
Attachment_Caliber_2 56706
Attachment_Caliber_3 56080

Magazine_Calibers 1
Magazine_Caliber_0 56036

Range 500

Ballistic_Drop 0.0013
Ballistic_Steps 300
Ballistic_Travel 18

Firerate 4
Action Bolt

Gunshot_Rolloff_Distance 1000

Player_Damage 80
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.6
Instakill_Headshots True

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 80
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.6

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.001
Spread_Hip 0.12

Recoil_Min_X -4
Recoil_Min_Y 10
Recoil_Max_X 4
Recoil_Max_Y 20

Recover_X 0.65
Recover_Y 0.65

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55103

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58173
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
