GUID fbdf66a9c58e4e0f91eb8c5c0d7a2c70
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 48267

Size_X 2
Size_Y 2
Size_Z 0.35
Size2_Z 0.4

Magazine 58268

Ammo_Min 1
Ammo_Max 6

Safety
Semi

Attachment_Calibers 4
Attachment_Caliber_0 56053
Attachment_Caliber_1 56707
Attachment_Caliber_2 56054
Attachment_Caliber_3 56056

Magazine_Calibers 1
Magazine_Caliber_0 57048

Range 160
Firerate 0
Action Trigger
Fire_Delay_Seconds 0.1

Gunshot_Rolloff_Distance 800
Ballistic_Drop 0.00175
Ballistic_Travel 12

Player_Damage 55
Player_Leg_Multiplier 0.9
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.85
Instakill_Headshots True

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 55
Animal_Leg_Multiplier 0.9
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.85

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.1
Spread_Hip 0.08

Recoil_Min_X -4
Recoil_Min_Y 11
Recoil_Max_X 4
Recoil_Max_Y 11

Recover_X 0.85
Recover_Y 0.85

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55105

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58267
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Guns/Magnum Platform/Taurus Model .44 Magnum
