GUID ed1f6953c9544c7da2babbcc07a79f15
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 48645

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Magazine 58648
Sight 58437

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 4
Ammo_Max 4

Safety
Semi

Attachment_Calibers 8
Attachment_Caliber_0 56200
Attachment_Caliber_1 56203
Attachment_Caliber_2 56030
Attachment_Caliber_3 56005
Attachment_Caliber_4 56073
Attachment_Caliber_5 56078
Attachment_Caliber_6 56101
Attachment_Caliber_7 56100

Magazine_Calibers 1
Magazine_Caliber_0 56005

Unplace 0.125
Replace 0.75

Range 500

Ballistic_Drop 0.00175
Ballistic_Steps 200
Ballistic_Travel 13

Firerate 5
Action Trigger

Fire_Delay_Seconds 0.1
Gunshot_Rolloff_Distance 1000

Player_Damage 75
Player_Leg_Multiplier 0.65
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.34
Instakill_Headshots True

Zombie_Damage 200
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 75
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.34

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Allow_Manual_Drop true
Should_Drop_On_Death false
Durability 0.18

Spread_Aim 0.09
Spread_Hip 0.11

Recoil_Min_X -1.5
Recoil_Min_Y 7.95
Recoil_Max_X 3.5
Recoil_Max_Y 11

Recover_X 0.475
Recover_Y 0.475

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.025
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.05

Muzzle 55000

Shell 55104

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58645
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Guns/SVD Platform/Dragonuv SVU Designated Marksman Rifle
