GUID 5240748b383b483d87a884aee89a3b61
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 48394

Size_X 3
Size_Y 2
Size_Z 0.35
Size2_Z 0.4

Magazine 58395

Ammo_Min 5
Ammo_Max 25

Hook_Barrel
Hook_Sight
Hook_Tactical
Hook_Grip

Safety
Semi
Auto
Bursts 2

Attachment_Calibers 4
Attachment_Caliber_0 56100
Attachment_Caliber_1 56703
Attachment_Caliber_2 56101
Attachment_Caliber_3 56080

Magazine_Calibers 1
Magazine_Caliber_0 58066

Unplace 0.09
Replace 0.75

Range 150
Firerate 5
Action Trigger

Gunshot_Rolloff_Distance 800

Player_Damage 38
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.4

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 38
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.4

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 40
Object_Damage 20

Durability 0.2

Spread_Aim 0.09
Spread_Hip 0.12

Recoil_Min_X 2
Recoil_Min_Y 2
Recoil_Max_X -2.5
Recoil_Max_Y 4.5

Recover_X 0.2
Recover_Y 0.2

Shake_Min_X -0.0032
Shake_Min_Y 0.0032
Shake_Min_Z -0.009
Shake_Max_X 0.0032
Shake_Max_Y -0.0032
Shake_Max_Z -0.015

Muzzle 55000

Shell 55105

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 58394
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Guns/UMP Platform/HK UMP .45 Submachine Gun
