GUID 4e209d9a4ab849409c6f3eed6ac883b4
Type Magazine
Rarity Epic
ID 48484

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 1

Calibers 1
Caliber_0 56033

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Explosive
Explosion 55124

Range 0
Tracer 55121

Delete_Empty

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/Launcher Ammunition/40x46mm/Individual/Smokes/40x46mm M715 (Green Smoke)
