GUID bc575e8473af4e09aa359faed20f0371
Type Magazine
Rarity Rare
ID 48466

Size_X 1
Size_Y 1
Size_Z 0.25

Amount 4
Count_Min 2
Count_Max 4

Calibers 1
Caliber_0 56042

Spread 0.85
Shake 1
Recoil_X 1.275
Recoil_Y 1.1
Ballistic_Damage_Multiplier 2.5

Pellets 1
Delete_Empty

Tracer 48

Blueprints 1
// 4 shells
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48466
Blueprint_0_Build 45117

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/Shotgun Ammunition/23x75mmR Barricade
