GUID 0d89e0f55645433fb6c6d0161c493fee
Type Throwable
Rarity Epic
Useable Throwable
ID 48502

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 110
Zombie_Damage 110
Animal_Damage 110
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 60
Resource_Damage 1000
Object_Damage 500
Weak_Throw_Force 775
Strong_Throw_Force 1400
Boost_Throw_Force_Multiplier 1.3

Range 10
Fuse_Length 10
Explosion 55109

Explosive
Explode_On_Impact

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Throwable/BEANO T-13 Impact Grenade
