GUID 66372cec48424f8d97142a885ca1cfa5
Type Throwable
Rarity Rare
Useable Throwable
ID 48169

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 175
Zombie_Damage 175
Animal_Damage 175
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 100
Resource_Damage 1000
Object_Damage 500
Weak_Throw_Force 700
Strong_Throw_Force 1200
Boost_Throw_Force_Multiplier 1.2

Range 15
Explosion 55109

Explosive

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Throwable/F1 Fragmentation Hand Grenade
